!	! ‼ ⁉ ❕ ❗
!!	!! ‼
#	# #️⃣
%	% 🔣
&	& 🔣
blue	blue 🥶 😰 💙 🩵 🫐 👕 👖 📘 🧿 🔵 🟦 🔷 🔹 🏳️‍⚧️
blue-faced	blue-faced 🥶
blueberries	blueberries 🫐
blueberry	blueberry 🫐
bluebonnet	bluebonnet 🪻
blush	blush 😊 😚
boar	boar 🐗
board	board 🛹 🎬
boat	boat 🚣 🚣‍♂️ 🚣‍♀️ ⛵ 🛶 🚤 ⛴ 🛥 🚢
boba	boba 🧋
body	body 💀 👂 👃 👀 👁 👅 👄
bodybuilder	bodybuilder 💪 🏋 🏋️‍♂️ 🏋️‍♀️
bok	bok 🥬
bolivia	bolivia 🇧🇴
bollywood	bollywood 🎥
bolt	bolt 🔩
bomb	bomb 💥 💣
bone	bone ☠ 🦴 🍖 🍗
bones	bones 🦴 🩻
boo	boo 👻
book	book 📔 📕 📖 📗 📘 📙 📚
bookbag	bookbag 🎒
bookkeeping	bookkeeping 🧾
bookmark	bookmark 📑 🔖
books	books 📚
boom	boom 💥 👊 🎆 🎇 💣
boomerang	boomerang 🪃
boot	boot 🥾 👢
booze	booze 🍷 🍸 🍹 🍺 🍻
bored	bored 😒 😔 🫩 🥱 💅
born	born 🍼
bosnia	bosnia 🇧🇦
boss	boss 😏
botswana	botswana 🇧🇼
bottle	bottle 🍼 🍶 🍾 🧴
bottoms	bottoms 🍻
boulder	boulder 🪨
bouncing	bouncing ⛹ ⛹️‍♂️ ⛹️‍♀️
bouquet	bouquet 💐
bouvetisland	bouvetisland 🇧🇻
bow	bow 🙏 🙇 🙇‍♂️ 🙇‍♀️ 🎁 🏹
bowing	bowing 🙇 🙇‍♂️ 🙇‍♀️
bowl	bowl 🥣 🍜 🏈
bowling	bowling 🎳
box	box 🍱 🥡 🧃 🎁 🪗 📤 📥 📦 🗳 🗃 🧰 ☑
boxing	boxing 🥊
boy	boy 👦 👨‍👩‍👦 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👨‍👦 👨‍👨‍👧‍👦 👨‍👨‍👦‍👦 👩‍👩‍👦 👩‍👩‍👧‍👦 👩‍👩‍👦‍👦
boys	boys 👬
brachiosaurus	brachiosaurus 🦕
brain	brain 🧠
brainy	brainy 🤓
branch	branch 🪹 🪺
branches	branches 🪾
brazil	brazil 🇧🇷
brb	brb 🔜
bread	bread 🍞 🥐 🥖 🫓 🥯 🥪
break	break 💔 🔔 ⛓️‍💥
breakfast	breakfast 🥐 🥯 🥞 🧇 🥓 🥚 🍳 🥣 🍩 🍴
breaking	breaking ⛓️‍💥
breaky	breaky 🍴
breast	breast 🤱
breast-feeding	breast-feeding 🤱
breath	breath 🫁
breathe	breathe 🫁
brew	brew 🫖
brick	brick 🧱
bricks	bricks 🧱
bride	bride 👰‍♀️
bridge	bridge 🌉
briefcase	briefcase 💼
briefs	briefs 🩲
bright	bright 😎 ☀ 🌝 🌞 🔆
bright-eyed	bright-eyed 🧒 👦 👧
brightness	brightness 🔅 🔆
britishindianoceanterritory	britishindianoceanterritory 🇮🇴
britishvirginislands	britishvirginislands 🇻🇬
bro	bro 😎 👊 💪 👨 👨‍🦰 👨‍🦱 👨‍🦳 👨‍🦲
broadband	broadband 🛜
broccoli	broccoli 🥦
broken	broken 💔 ⛓️‍💥
brontosaurus	brontosaurus 🦕
bronze	bronze 🥉
broom	broom 🧹
brothers	brothers 👬
brown	brown 🤎 👞 🥾 🟤 🟫
brr	brr 🧥
bruh	bruh 👊
brunei	brunei 🇧🇳
brush	brush 🪥
bs	bs 💩
bubble	bubble 💬 👁️‍🗨️ 🗯 💭 🧋 🫧
bubbles	bubbles 🫧
bucket	bucket 🪣
buckingham	buckingham 💂 💂‍♂️ 💂‍♀️
buddhism	buddhism 🪷
buddhist	buddhist ☸
buffalo	buffalo 🦬 🐃
bug	bug 🐛 🪲 🦗
build	build 👷 👷‍♂️ 👷‍♀️ 📲
building	building 🏛 🏗 🏠 🏡 🏢 🏣 🏤 🏥 🏦 🏨 🏩 🏪 🏫 🏬 🏭 🏯 🏰 🌆 🌇
bulb	bulb 💡
bulgaria	bulgaria 🇧🇬
bull	bull 🐂 🎯 ♉
bullet	bullet 🚅
bullseye	bullseye 🎯
bumblebee	bumblebee 🐝
bump	bump 👊
