十八禁	十八禁 🔞
老年人	老年人 🧓
老师	老师 🧑‍🏫
老式钥匙	老式钥匙 🗝️
老鼠	老鼠 🐁
老鼠头	老鼠头 🐭
老挝	老挝 🇱🇦
老爷爷	老爷爷 👴
烙饼	烙饼 🥞
乐谱	乐谱 🎼
雷阵雨	雷阵雨 ⛈️
垒球	垒球 🥎
累	累 😫
累死了	累死了 😩
冷汗	冷汗 😰
冷脸	冷脸 🥶
冷漠	冷漠 😐
梨	梨 🍐
黎巴嫩	黎巴嫩 🇱🇧
礼帽	礼帽 🎩
礼物	礼物 🎁
理发	理发 💇
理发店	理发店 💈
鲤鱼旗	鲤鱼旗 🎏
立起的手背	立起的手背 🤚
立陶宛	立陶宛 🇱🇹
利比里亚	利比里亚 🇱🇷
利比亚	利比亚 🇱🇾
栗子	栗子 🌰
连起来的两个回形针	连起来的两个回形针 🖇️
连体泳衣	连体泳衣 🩱
连衣裙	连衣裙 👗
莲花	莲花 🪷
联合国	联合国 🇺🇳
脸发烧	脸发烧 🥵
脸红	脸红 😳
练武服	练武服 🥋
链接	链接 🔗
链条	链条 ⛓️
两点	两点 🕑
两点半	两点半 🕝
两颗心	两颗心 💕
列支敦士登	列支敦士登 🇱🇮
淋浴	淋浴 🚿
铃铛	铃铛 🔔
领带	领带 👔
留尼汪	留尼汪 🇷🇪
流口水	流口水 🤤
流星	流星 🌠
六点	六点 🕕
六点半	六点半 🕡
六芒星	六芒星 ✡️
龙	龙 🐉
龙卷风	龙卷风 🌪️
龙头	龙头 🐲
龙虾	龙虾 🦞
聋哑男人	聋哑男人 🧏‍♂️
聋哑女人	聋哑女人 🧏‍♀️
卢森堡	卢森堡 🇱🇺
卢旺达	卢旺达 🇷🇼
录像带	录像带 📼
录音室麦克风	录音室麦克风 🎙️
录制按钮	录制按钮 ⏺️
鹿	鹿 🦌
路面电车	路面电车 🚊
路障	路障 🚧
露营	露营 🏕️
轮椅标识	轮椅标识 ♿
罗马尼亚	罗马尼亚 🇷🇴
螺母与螺栓	螺母与螺栓 🔩
螺丝刀	螺丝刀 🪛
骆驼	骆驼 🐪
落叶	落叶 🍂
落叶树	落叶树 🌳
驴	驴 🫏
绿色方块	绿色方块 🟩
绿色沙拉	绿色沙拉 🥗
绿色书本	绿色书本 📗
绿色圆	绿色圆 🟢
绿心	绿心 💚
绿叶蔬菜	绿叶蔬菜 🥬
马	马 🐎
马达加斯加	马达加斯加 🇲🇬
马黛茶	马黛茶 🧉
马恩岛	马恩岛 🇮🇲
马尔代夫	马尔代夫 🇲🇻
马耳他	马耳他 🇲🇹
马拉维	马拉维 🇲🇼
马来西亚	马来西亚 🇲🇾
马里	马里 🇲🇱
马绍尔群岛	马绍尔群岛 🇲🇭
马提尼克	马提尼克 🇲🇶
马桶	马桶 🚽
马头	马头 🐴
马戏团帐篷	马戏团帐篷 🎪
马约特	马约特 🇾🇹
蚂蚁	蚂蚁 🐜
麦克风	麦克风 🎤
满月	满月 🌕
芒果	芒果 🥭
盲杖	盲杖 🦯
猫	猫 🐈
猫脸	猫脸 🐱
猫头鹰	猫头鹰 🦉
毛里求斯	毛里求斯 🇲🇺
毛里塔尼亚	毛里塔尼亚 🇲🇷
毛毛虫	毛毛虫 🐛
毛线	毛线 🧶
锚	锚 ⚓
